Manufacturer,Payment_Sum,Payment_Count,Payment_Mean,Year
"Jacobus Pharmaceutical Company, Inc.",31282.5,12,2606.88,2014
"Janssen Biotech, Inc.",3135733.48,114640,27.35,2014
"Janssen Diagnostics, LLC",225331.95,119,1893.55,2014
"Janssen Global Services, LLC",262107.43,177,1480.83,2014
"Janssen Pharmaceuticals, Inc",43526963.03,536651,81.11,2014
"Janssen Products, LP",4133532.62,7722,535.29,2014
"Janssen Research & Development, LLC",4322939.86,1899,2276.43,2014
"Janssen Scientific Affairs, LLC",10158345.82,13606,746.61,2014
Jazz Pharmaceuticals Inc.,3280010.51,18024,181.98,2014
Johnson & Johnson Health Care Systems Inc.,28766.29,206,139.64,2014
"Johnson & Johnson Medical Devices & Diagnostics Group - Latin America, L.L.C.",51534.04,63,818.0,2014
"Johnson & Johnson Vision Care, Inc.",2378878.48,27797,85.58,2014
Johnson and Johnson International,156903.03,1042,150.58,2014
Jubilant HollisterStier LLC,4023.38,100,40.23,2014
Jumar Corporation,3885.0,4,971.25,2014
JustRight Surgical LLC,10413.94,37,281.46,2014
"K2M, Inc.",3641791.75,3355,1085.48,2014
KADMON PHARMACEUTICALS LLC,93388.27,2009,46.48,2014
"KARL STORZ ENDOVISION, INC.",224758.25,6,37459.71,2014
"KARL STORZ Endoscopia Mexico, S.A.",3329.9,13,256.15,2014
KARL STORZ Endoscopy-America,272621.06,23,11853.09,2014
"KARL STORZ IMAGING, INC.",39995.15,10,3999.52,2014
"KARL STORZ Lithotripsy-America, Inc.",1036.37,15,69.09,2014
KARLSTORZ Endoscopy-America,7679363.0,6570,1168.85,2014
"KCI USA, Inc",1516107.42,6457,234.8,2014
KLS Martin L.P.,1242184.61,1481,838.75,2014
"KONAN MEDICAL USA, INC.",70670.28,20,3533.51,2014
KaVo Technologies LLC,316.99,7,45.28,2014
Kadmon Corporation LLC,115439.12,76,1518.94,2014
Kairos Surgical Inc,37090.35,213,174.13,2014
"Kaleo, Inc.",40581.45,312,130.07,2014
Kalitec Direct LLC,30900.0,1,30900.0,2014
Kansas Cryosurgery Associates LLC,102506.66,176,582.42,2014
"Katena Products, Inc.",23851.48,68,350.76,2014
"Kedrion Biopharma, Inc.",190576.76,649,293.65,2014
Kensey Nash,10908.58,7,1558.37,2014
Kerr Corporation,1590643.26,2527,629.46,2014
Keystone Dental Inc.,442513.43,56,7902.03,2014
"Keystone Surgical Systems, Inc.",26169.44,339,77.2,2014
"Kinamed, Inc.",18367.93,22,834.91,2014
"Konica Minolta Medical Imaging USA, Inc.",5000.0,4,1250.0,2014
Kortmed Marketing and Management LLC,55238.74,76,726.83,2014
"Koven Technology, Inc.",528.04,3,176.01,2014
"Kowa Company, Ltd.",13856.09,15,923.74,2014
"Kowa Pharmaceuticals America, Inc.",1380559.22,34676,39.81,2014
"Kowa Research Institute, Inc.",88918.83,179,496.75,2014
Kuraray America Inc.,220624.63,112,1969.86,2014
Kurz Medical Inc,454.42,7,64.92,2014
"LAKE REGION MANUFACTURING, INC. D.B.A. LAKE REGION MEDICAL",134671.3,78,1726.56,2014
"LDR SPINE USA, INC",1446856.19,2669,542.1,2014
"LDR Spine USA, Inc",211702.27,3014,70.24,2014
LEICA MICROSYSTEMS INC.,241811.44,31,7800.37,2014
"LENSAR, Inc.",404165.43,760,531.8,2014
LEO Pharma AS,169325.44,311,544.45,2014
LEO Pharma Inc.,761438.7,12498,60.92,2014
"LILLY USA, LLC",10039110.87,187925,53.42,2014
"LIPOSCIENCE, INC.",750191.57,8669,86.54,2014
LSI SOLUTIONS INC,337586.95,165,2045.98,2014
LUMARA HEALTH INC.,123293.54,6448,19.12,2014
Laboratorios Ferring Ltda.,7412.0,2,3706.0,2014
Laboratory Supply Company,66.8,1,66.8,2014
Laborie Medical Technologies Corp.,43559.68,71,613.52,2014
Lannett Company Inc,28529.36,618,46.16,2014
"Lantheus Medical Imaging, Inc.",1768415.73,5308,333.16,2014
"Laser Specialty Medical, LLC",131400.0,18,7300.0,2014
"LeMaitre Vascular, Inc.",369725.08,1319,280.31,2014
Leading Edge Spinal Implants LLC,1045177.38,8,130647.17,2014
"Liberty Surgical, Inc",15393.18,85,181.1,2014
"Life Spine, Inc.",771365.59,407,1895.25,2014
Life Technologies Corporation,21384.59,137,156.09,2014
LifeCell Corporation,5522860.52,17690,312.2,2014
LifeNet Health Inc.,89791.26,77,1166.12,2014
"LifeScan, Inc.",92369.61,93,993.22,2014
LifeSource,177750.03,14,12696.43,2014
LifeWatch Services Inc,312797.66,1078,290.16,2014
Lightscalpel LLC,208559.0,34,6134.09,2014
"Lima USA, Inc.",325471.1,139,2341.52,2014
"Linde Gas North America, LLC",187.5,1,187.5,2014
Lineage Therapeutics Inc.,4592.55,161,28.53,2014
Linvatec Corporation,1960899.31,1301,1507.22,2014
Liventa Biosciences Inc.,15235.4,17,896.2,2014
Lombard Medical Technologies Inc.,152526.69,1349,113.07,2014
Luitpold Pharmaceuticals Inc,672154.9,8763,76.7,2014
"Lumenis, Inc",430697.77,121,3559.49,2014
Luminex Corporation,30476.05,18,1693.11,2014
Luminex Molecular Diagnostics,61789.6,7,8827.09,2014
Lundbeck LLC,8570543.96,50833,168.6,2014
Lung Biotechnology Corp,248195.47,5158,48.12,2014
"Lutonix, Inc.",762247.29,621,1227.45,2014
"M2S, Inc",368164.35,24,15340.18,2014
"MAQUET Cardiovascular U.S. Sales, L.L.C.",54123.89,34,1591.88,2014
MED-EL Corporation,381319.44,926,411.79,2014
"MEDAC PHARMA, INC.",64410.72,553,116.48,2014
MEDACTA USA,3075014.67,2330,1319.75,2014
MEDELA INC.,55396.7,61,908.14,2014
MEDICAL INVESTMENT ADVISORS LLC,95130.6,29,3280.37,2014
MEDICAL POSITIONING INC,21476.72,2,10738.36,2014
MEDICOMP INC,1476.07,45,32.8,2014
"MEDTEC, Inc.",1444.61,18,80.26,2014
"MIPRO US, Inc.",488.0,6,81.33,2014
"MIS Implants Technologies, Inc.",66806.67,94,710.71,2014
"MLH-RX, LLC",19600.0,5,3920.0,2014
MORTARA INSTRUMENT INC,133333.66,1,133333.66,2014
"MRI Interventions, Inc.",390490.75,203,1923.6,2014
"MacuLogix, Inc.",70680.15,122,579.35,2014
Magellan Diagnostics Inc,20790.0,46,451.96,2014
Maillefer Instruments Holding Sarl,2031630.69,49,41461.85,2014
Mallinckrodt LLC,3480959.99,49407,70.45,2014
Maquet Cardiopulmonary AG,421145.69,18,23396.98,2014
Maquet Cardiovascular L.L.C.,38780.47,58,668.63,2014
"Maquet Cardiovascular U.S. Sales, L.L.C.",490698.66,5448,90.07,2014
Maquet Critical Care AB,151.71,1,151.71,2014
Maquet GmbH,56.0,1,56.0,2014
"Mar Cor Purification, Inc.",1119.72,1,1119.72,2014
"Marathon Pharmaceuticals, LLC",90426.28,120,753.55,2014
"Marine Polymer Technologies, Inc.",48000.0,1,48000.0,2014
Masimo Corporation,2194050.02,1695,1294.42,2014
Materialise USA LLC,46873.36,10,4687.34,2014
"Mauna Kea Technologies, Inc.",187376.4,894,209.59,2014
"Maxx Orthopedics, Inc.",284637.53,110,2587.61,2014
Mazor Robotics Inc.,1209963.41,946,1279.03,2014
Mazor Robotics LTD,956.1,18,53.12,2014
McKesson Corporation,86704.0,28,3096.57,2014
"McKesson Medical-Surgical, Inc.",2386.81,24,99.45,2014
McKesson Patient Care Solutions Inc.,391.95,25,15.68,2014
McKesson Specialty Care Distribution Corp.,414487.18,843,491.68,2014
"McKesson Technologies, Inc.",102419.05,57,1796.83,2014
"Mckesson Technologies, Inc.",135746.35,50,2714.93,2014
"MedImmune, LLC",1656947.98,8757,189.21,2014
MedOne Surgical Inc,6000.0,1,6000.0,2014
"MedShape, Inc.",148376.81,53,2799.56,2014
"Meda Pharmaceuticals, Inc.",1573413.35,22678,69.38,2014
Medacta USA,2458.08,27,91.04,2014
"Medafor, Inc.",164410.22,229,717.95,2014
Mederi Therapeutics Inc,357422.0,134,2667.33,2014
Medical Action Industries Inc,7541.04,4,1885.26,2014
"Medical Designs, LLC",389.55,4,97.39,2014
"Medical Engineering and Development Institute, Inc.",976833.3,513,1904.16,2014
Medical Graphics Corporation,4995.33,18,277.52,2014
Medical Modeling Inc.,35363.85,14,2525.99,2014
Medicomp Inc,14596.24,298,48.98,2014
Medicrea International,1443.08,8,180.38,2014
"Medicrea USA, Corp.",377273.96,513,735.43,2014
Medicure Pharma Inc.,38018.95,77,493.75,2014
Medigus Ltd.,47247.0,18,2624.83,2014
"Medimetriks Pharmaceuticals, Inc.",770646.09,1689,456.27,2014
Medinc of Texas,48042.06,319,150.6,2014
"Medistim USA, Inc.",6654.89,104,63.99,2014
"Medivance, Inc.",3079.89,58,53.1,2014
Medivation Inc.,1449041.26,12029,120.46,2014
Medivators Inc.,123557.97,482,256.34,2014
"Medline Industries, Inc.",1164608.33,948,1228.49,2014
"Medspira, LLC",94677.66,4,23669.42,2014
"Medtronic MiniMed, Inc.",1225398.29,14162,86.53,2014
"Medtronic Sofamor Danek USA, Inc.",68602713.25,32349,2120.71,2014
"Medtronic USA, Inc.",34531056.51,66399,520.05,2014
"Medtronic Vascular, Inc.",24817104.59,118550,209.34,2014
"Medtronic Xomed, Inc.",4691708.9,10877,431.34,2014
"Medtronic, Inc.",216091.11,1859,116.24,2014
Medventure Technology Corporation,1250.0,1,1250.0,2014
Medwest Associates,37321.9,97,384.76,2014
"Medyssey USA, Inc",76206.27,14,5443.3,2014
Megadyne Medical Products Inc,6000.0,4,1500.0,2014
"Meisinger USA, LLC",125709.99,183,686.94,2014
Memphis Cryo Associates LP,44000.0,110,400.0,2014
"Menicon America, Inc.",3207.59,81,39.6,2014
Mentor Worldwide LLC,1720226.08,8668,198.46,2014
"Mercator MedSystems, Inc.",5324.15,30,177.47,2014
"Mercedes Medical, LLC",6522.85,686,9.51,2014
Merck Sharp & Dohme Corporation,28083638.23,319061,88.02,2014
"Mercury Enterprises, Inc.",926.28,32,28.95,2014
Merge Healthcare Incorporated,12461.22,237,52.58,2014
Meridian Bioscience Inc.,60421.89,306,197.46,2014
Merit Medical Systems Inc,1446220.37,966,1497.12,2014
"Merz North America, Inc.",2707482.19,23125,117.08,2014
Merz Pharmaceuticals GmbH,765888.62,203,3772.85,2014
"Merz, Inc.",2963.94,45,65.87,2014
"Metrex Research, LLC",6042.14,88,68.66,2014
"Metric Medical Devices, Inc.",2392.45,37,64.66,2014
Mevion_Medical_Systems_Inc,2530.7,27,93.73,2014
Michigan Mobile Urology Services LLC,273372.14,591,462.56,2014
MicroAire Surgical Instruments LLC,418203.71,447,935.58,2014
MicroPort Orthopedics Inc,7706041.0,1965,3921.65,2014
Microgenics Corporation,327472.5,170,1926.31,2014
MicrolineSurgical Inc,38305.7,15,2553.71,2014
Micromed Inc,7710.95,47,164.06,2014
"Microsurgical Technology, Inc.",137299.07,34,4038.21,2014
"Microvention, Inc.",188287.04,1166,161.48,2014
"Mid America Management, LLC",1052724.9,5,210544.98,2014
"Mid-Atlantic Surgical Systems, LLC",61030.77,304,200.76,2014
Midmark Corporation,64181.48,95,675.59,2014
Midsouth Orthopedics,3569.54,28,127.48,2014
Midwest Cryotherapy LP,305107.74,324,941.69,2014
"Midwest Surgical Alliance, LLC",235000.0,2,117500.0,2014
"Millennium Pharmaceuticals, Inc.",8691356.29,13466,645.43,2014
"Millennium Spine, LLC",1430000.0,4,357500.0,2014
"Milliken Healthcare Products, LLC",614.58,32,19.21,2014
"Mindray DS USA, Inc.",32493.08,165,196.93,2014
Minimally Invasive Devices Inc.,313.58,3,104.53,2014
Miromatrix Medical Inc.,28515.9,16,1782.24,2014
Misonix Inc,12460.68,69,180.59,2014
Mission Pharmacal Company,225799.95,11840,19.07,2014
"Mist Pharmaceuticals, LLC",2586.05,91,28.42,2014
Mobile Cryosurgical Partners LP,200931.78,14,14352.27,2014
"Mobius Therapeutics, LLC",14536.94,58,250.64,2014
Modern Orthopedic Consultants,7171.35,98,73.18,2014
"Mohawk Hospital Equipment, Inc.",70225.0,4,17556.25,2014
Molnlycke Health Care AB,22053.8,5,4410.76,2014
"Molnlycke Health Care US, LLC",191067.83,615,310.68,2014
Monaghan Medical Corporation,24900.25,81,307.41,2014
Monteris Medical Corporation,259781.19,210,1237.05,2014
Moore Medical LLC,28.28,1,28.28,2014
Musculoskeletal Transplant Foundation Inc.,1393930.62,1456,957.37,2014
"Mydent International, Inc.",2851.03,27,105.59,2014
Mylan Institutional Inc.,28537.83,30,951.26,2014
Mylan Pharmaceuticals Inc.,262027.97,564,464.59,2014
Mylan Specialty L.P.,2115332.41,35357,59.83,2014
Myoscience Inc.,415743.85,254,1636.79,2014
"NDI Medical, LLC",109902.05,233,471.68,2014
"NEW WORLD MEDICAL,INC.",34114.39,19,1795.49,2014
NICO Corporation,385296.82,289,1333.21,2014
"NIDEK CO., LTD.",624648.39,77,8112.32,2014
NOVARTIS PHARMACEUTICALS CORPORATION,7778396.03,9995,778.23,2014
"NPS Pharmaceuticals, Inc.",732017.77,2995,244.41,2014
NSK AMERICA CORPORATION,17328.49,7,2475.5,2014
"NUVASIVE, INC.",2710346.56,1903,1424.25,2014
"Nanosphere, Inc.",111209.11,26,4277.27,2014
Nanovis LLC,11941.53,11,1085.59,2014
Nashville Surgical Instruments LLC,766346.0,1,766346.0,2014
National Dentex Corporation,30832.82,892,34.57,2014
"Navidea Biopharmaceuticals, Inc.",26994.65,105,257.09,2014
"NeedleTech Products, Inc.",1405.53,9,156.17,2014
NeoMedix Corporation,265921.28,56,4748.59,2014
NeoTract Inc.,97241.61,440,221.0,2014
"Neomend, Inc.",284862.62,2048,139.09,2014
Neovasc Medical Inc,92064.0,16,5754.0,2014
"Neoventa Medical, Inc.",18000.0,12,1500.0,2014
Nestle HealthCare Nutrition Inc.,193.27,9,21.47,2014
"NeuWave Medical, Inc.",1289221.23,480,2685.88,2014
"NeuroLogica Corporation, A Subsidiary of Samsung Electronics",4071.18,60,67.85,2014
NeuroMetrix Inc,102568.59,7,14652.66,2014
"NeuroPace, Inc.",81900.58,201,407.47,2014
"NeuroTherm, Inc.",62008.25,432,143.54,2014
Neurohabilitation Corporation,12000.0,4,3000.0,2014
"Neuronetics, Inc.",269332.21,1811,148.72,2014
"Neurotech NA, Inc.",2000.0,1,2000.0,2014
New England Cryotherapy LP,49384.13,97,509.11,2014
"New Star Lasers, Inc.",46664.76,46,1014.45,2014
New Wave Surgical Corp.,3000.0,5,600.0,2014
"New York Blood Center, Inc.",801471.68,30,26715.72,2014
Nextremity Solutions Inc.,97822.93,163,600.14,2014
"Nexus-Dx, inc",3000.0,1,3000.0,2014
"Nexxt Spine, LLC",469103.09,147,3191.18,2014
Nidek Incorporated,56289.94,8,7036.24,2014
Nihon Cochlear Co Ltd,11371.8,3,3790.6,2014
"Nihon Kohden America, Inc.",25676.79,22,1167.13,2014
"NinePoint Medical, Inc.",332114.43,321,1034.62,2014
"Nippon Boehringer Ingelheim Co., Ltd.",253473.82,93,2725.52,2014
Nobel Biocare USA,4762327.16,17748,268.33,2014
"Nonin Medical, Inc.",95175.63,66,1442.05,2014
"Norgenix Pharmaceuticals, LLC",5026.11,200,25.13,2014
"NormaTec Industries, LP",166.26,2,83.13,2014
"North Alabama Surgical Services GP, LLC",239999.9,3,79999.97,2014
"North Alabama Surgical Services, LLC",720000.0,3,240000.0,2014
"North American Rescue, LLC",26455.6,1,26455.6,2014
"North Texas Surgical Services, LLC",123080.0,10,12308.0,2014
Northeast Cryotherapy LP,81657.05,484,168.71,2014
Nova Biomedical Corporation,4542.11,7,648.87,2014
Novabone Products,62771.85,32,1961.62,2014
Novadaq Technologies Inc.,1272493.42,2128,597.98,2014
Novartis Consumer Health Inc.,175048.77,35,5001.39,2014
Novartis Pharma AG,977314.72,391,2499.53,2014
Novartis Pharmaceuticals Corporation,14073154.94,150922,93.25,2014
Novartis Vaccines and Diagnostics Inc,1736544.83,8535,203.46,2014
Novartis Vaccines and Diagnostics S.r.l.,534433.39,17,31437.26,2014
"Noven Pharmaceuticals, Inc.",1742850.41,27389,63.63,2014
"Noven Therapeutics, LLC",25510.1,970,26.3,2014
Novian Health Inc.,36637.74,6,6106.29,2014
Novo Nordisk AS,3797029.17,4119,921.83,2014
Novo Nordisk Health Care AG,332284.33,150,2215.23,2014
Novo Nordisk Inc,23123560.86,593279,38.98,2014
"NovoSource, Inc.",10245.4,9,1138.38,2014
Novocure Inc.,925082.07,1196,773.48,2014
Novus Scientific Inc.,64929.0,2,32464.5,2014
"NuMED for Children, LLC",90000.0,3,30000.0,2014
"NuTech Plus, Inc.",3825.65,12,318.8,2014
"NuVasive, Inc.",19474408.84,14842,1312.11,2014
Nucletron Operations B.V.,4968.0,16,310.5,2014
Nuo Therapeutics,110375.08,175,630.71,2014
"Nutech Spine, Inc.",307220.94,97,3167.23,2014
"NxStage Medical, Inc.",461153.34,1145,402.75,2014
"OCULUS, Inc.",147966.85,213,694.68,2014
OMNI SURGICAL LLC,932559.09,54,17269.61,2014
"OMNIlife science, Inc",4076531.58,384,10615.97,2014
"ONY, Inc.",8645.92,60,144.1,2014
OPTOS PLC,141907.83,884,160.53,2014
"OPTOS, INC.",257018.99,334,769.52,2014
"OPTOVUE, INC.",193893.52,610,317.86,2014
ORTHO DEVELOPMENT CORPORATION,3038300.09,840,3617.02,2014
"Oasis Medical, Inc.",116951.78,61,1917.24,2014
"Octapharma USA, Inc.",130818.41,561,233.19,2014
"Ocular Therapeutix, Inc.",277426.1,128,2167.39,2014
Oklahoma Urologic Therapies LP,406623.39,167,2434.87,2014
Olea Medical,72242.18,45,1605.38,2014
Olive Medical Corporation,81.18,2,40.59,2014
Olympus America Inc.,1163242.85,5053,230.21,2014
Olympus Biotech Corporation,14471.52,58,249.51,2014
Olympus Corporation,32553.0,7,4650.43,2014
Olympus Corporation of the Americas,3784747.16,5227,724.08,2014
"Olympus Latin America, Inc.",12877.36,17,757.49,2014
Olympus Medical Systems Corporation,331659.32,133,2493.68,2014
Olympus Winter & Ibe GmbH,37453.4,6,6242.23,2014
Omni Acquisition Inc.,1524851.32,106,14385.39,2014
"OmniGuide, Inc.",263258.91,627,419.87,2014
Omnyx LLC,25951.88,6,4325.31,2014
"On-x Life Technologies, Inc",133224.97,539,247.17,2014
"One Lambda, Inc.",69367.84,13,5335.99,2014
"OneBlood, Inc.",140658.0,1,140658.0,2014
"Onset Dermatolology, Inc",50591.71,985,51.36,2014
"Onyx Pharmaceuticals, Inc., an Amgen subsidiary",4942176.9,11875,416.18,2014
Optasia Medical Limited,5040.0,1,5040.0,2014
OptiMedica Corporation,198617.41,29,6848.88,2014
Optim LLC,5208.33,1,5208.33,2014
"Optos, Inc.",81440.45,2636,30.9,2014
OraSure Technologies Inc.,10774.44,44,244.87,2014
"Orexo US, Inc.",205609.2,2004,102.6,2014
"Organ Recovery Systems, Inc.",188728.46,72,2621.23,2014
Organogenesis Inc.,954798.79,10475,91.15,2014
Origio Inc.,38277.1,22,1739.87,2014
Ormco Corporation,4213347.3,5708,738.15,2014
"Ortho Kinematics, Inc.",29682.4,34,873.01,2014
"Ortho Organizers, Inc.",946750.51,2276,415.97,2014
"Ortho Restore, LLC",320000.0,1,320000.0,2014
Ortho Solutions Inc,5200.04,11,472.73,2014
"Ortho Technology, Inc",23687.38,477,49.66,2014
"Ortho-Clinical Diagnostics, Inc.",281800.1,126,2236.51,2014
"Ortho-Stat Caribbean, Corp.",8890.35,8,1111.29,2014
OrthoPediatrics Corp.,681109.81,592,1150.52,2014
OrthoSensor Inc.,177277.16,247,717.72,2014
Orthofix International N.V.,4092042.75,2795,1464.06,2014
"Orthopedic Sciences, Inc.",245665.59,4,61416.4,2014
Osiris Therapeutics Inc.,580209.55,351,1653.02,2014
Osprey Medical Inc,101244.51,21,4821.17,2014
Osseon LLC,2789.04,86,32.43,2014
"Osseus Fusion Systems, LLC",243206.55,12,20267.21,2014
"Ossur Americas., Inc",59.57,2,29.79,2014
OsteoReady LLC,1776071.73,690,2574.02,2014
Osteogenics Biomedical Inc.,144899.25,30,4829.98,2014
Osteomed LLC,956745.68,3115,307.14,2014
Ostial Corporation,33660.0,11,3060.0,2014
"Oticon Medical, LLC",138511.94,102,1357.96,2014
"Otsuka America Pharmaceutical, Inc.",23625397.62,152469,154.95,2014
"Otsuka Pharmaceutical Co., Ltd.",4089131.5,589,6942.5,2014
"Otsuka Pharmaceutical Development & Commercialization, Inc.",865007.65,717,1206.43,2014
"Owens & Minor Distribution, Inc.",397637.34,78,5097.91,2014
Oxford Immunotec Inc.,309387.28,658,470.19,2014
"Ozark Cryosurgery, LLC",112000.0,7,16000.0,2014
"PARI RESPIRATORY EQUIPMENT, INC.",69056.97,15,4603.8,2014
PBM Pharmaceuticals,452.19,37,12.22,2014
"PENTAX of America, Inc.",458994.11,360,1274.98,2014
PFIZER CANADA INC,10500.0,1,10500.0,2014
PFIZER INC.,5614999.92,2707,2074.25,2014
PFIZER INTERNATIONAL LLC,554706.14,214,2592.08,2014
PFIZER LIMITED,3149.81,3,1049.94,2014
PFIZER PHARMACEUTICALS LLC,15700.31,34,461.77,2014
"PRN Medical Services, LLC",3111.06,200,15.56,2014
PSS World Medical Inc.,4635.44,10,463.54,2014
PULPDENT CORPORATION,78363.3,64,1224.43,2014
"Pacific Medical, Inc",84342.87,609,138.49,2014
Pacira Pharmaceuticals Incorporated,2846655.75,9895,287.69,2014
"Pajunk Medical Systems, LP",102939.97,26,3959.23,2014
Panasonic Corporation of North America,299.99,1,299.99,2014
Panasonic Healthcare Corporation of North America,70.73,1,70.73,2014
Panoramic Rental Corp.,40444.86,86,470.29,2014
"Par Pharmaceutical, Inc.",220600.41,16357,13.49,2014
"ParaPRO, LLC",8098.22,6,1349.7,2014
"Paradigm Spine, LLC",228453.0,777,294.02,2014
"Paragon 28, Inc.",452477.36,225,2011.01,2014
"Parkedale Pharmaceuticals, Inc.",102.75,2,51.38,2014
"Patterson Companies, Inc.",3892286.98,12703,306.41,2014
Peerless Surgical Inc.,20418.06,207,98.64,2014
"Penumbra, Inc.",5094291.91,3189,1597.46,2014
"Pernix Therapeutics Holdings, Inc.",374629.52,1887,198.53,2014
Perrigo Company plc,187304.64,68,2754.48,2014
"Peter Brasseler Holdings, LLC",1464560.14,670,2185.91,2014
Pfizer Corporation Hong Kong Limited,106.61,2,53.3,2014
Pfizer Inc.,48662139.37,560991,86.74,2014
Pfizer International LLC,525631.77,464,1132.83,2014
Pfizer Limited,1400.0,1,1400.0,2014
Pfizer Pharmaceuticals LLC,181357.02,2631,68.93,2014
"Pfizer, S.L.",27000.0,2,13500.0,2014
Phadia AB,27600.51,12,2300.04,2014
Phadia US Inc.,714605.37,15517,46.05,2014
Pharmacia & Upjohn Company LLC,10114.0,10,1011.4,2014
"Pharmacyclics, Inc",564678.99,2858,197.58,2014
Pharmedium Services LLC,79133.27,1,79133.27,2014
Philips Electronics North America Corporation,3975622.96,3867,1028.09,2014
Photocure Inc,82195.2,427,192.49,2014
"Physician Discoveries, LLC",214160.81,123,1741.14,2014
"Pierre Fabre Pharmaceuticals, Inc.",73519.58,590,124.61,2014
"Pinnacle Biologics, Inc",157430.58,377,417.59,2014
"Pinnacle Spine Group, LLC",372424.91,5,74484.98,2014
"Pinnacle Transplant Technologies, LLC",63485.53,5,12697.11,2014
"Pinnacle, Inc",20028.35,298,67.21,2014
Piramal Critical Care,16011.52,34,470.93,2014
Piramal Imaging Limited,20174.83,10,2017.48,2014
"Planmeca USA, Inc.",227720.74,498,457.27,2014
"Plasma Surgical, Inc.",154367.73,778,198.42,2014
Precision Eye Services,38149.26,25,1525.97,2014
"Precision Spine, Inc.",1609521.11,217,7417.15,2014
Premier Dental Products Company,31051.85,195,159.24,2014
"ProStrakan, Inc.",60915.15,2335,26.09,2014
Procedural Orthopedics Inc,8009.05,44,182.02,2014
"Prodigy Surgical Distribution, Inc.",61923.46,135,458.69,2014
"Professional Hospital Supply, Inc.",47440.0,9,5271.11,2014
Prometheus Laboratories Inc.,1570045.98,11922,131.69,2014
Promius Pharma LLC,478829.62,6362,75.26,2014
Pronova Corporation,410.3,30,13.68,2014
"Prosidyan, Inc",308.88,6,51.48,2014
"Providence Medical Technology, Inc.",139104.72,334,416.48,2014
"PruGen, Inc. Pharmaceuticals",3443.38,62,55.54,2014
Pulmonx Corporation,68077.02,110,618.88,2014
Purdue Pharma,151709.85,11,13791.8,2014
Purdue Pharma L.P.,6319599.33,62177,101.64,2014
Purdue Pharma of Puerto Rico,937.32,52,18.03,2014
Purdue Transdermal Technologies L.P.,1562751.23,2679,583.33,2014
"PureLife, LLC",303567.56,4017,75.57,2014
Pylant Medical,8431.37,114,73.96,2014
"QIAGEN Sciences, LLC",767650.62,1385,554.26,2014
"QOL Medical, LLC",209507.75,687,304.96,2014
Qfix,2150.0,4,537.5,2014
Quest Medical Inc.,95470.92,32,2983.47,2014
Quest Medical LLC,14558.29,116,125.5,2014
Questcor Pharmaceuticals,8609320.22,50612,170.1,2014
Quidel Corporation,610476.34,324,1884.19,2014
"R&M Distributing, LLC",24882.26,147,169.27,2014
"RARE DISEASE THERAPEUTICS, INC.",111.08,6,18.51,2014
RECORDATI_RARE_DISEASES_INC.,30344.99,49,619.29,2014
RF Surgical Systems Inc.,21073.35,3,7024.45,2014
"RF Surgical Systems, Inc.",7940.82,3,2646.94,2014
"RIKCO INTERNATIONAL, LLC",158486.08,1360,116.53,2014
"RMO, Inc.",344723.63,375,919.26,2014
"RSW Medical Company, Inc.",18413.97,76,242.29,2014
RT Oncology Services Corporation,25571.65,82,311.85,2014
"RTI Surgical, Inc.",1211991.74,1076,1126.39,2014
"Radiometer America, Inc",104563.61,130,804.34,2014
"Radlink, Inc",8157.35,5,1631.47,2014
Raintree Essix Inc,213415.69,1366,156.23,2014
"Ramsay Medical, Inc",6340.25,76,83.42,2014
Ranbaxy Inc.,1867779.28,12925,144.51,2014
"Rapid PAthogen Screening, Inc.",11416.01,266,42.92,2014
Raptor Pharmaceuticals,197545.43,1550,127.45,2014
RaySearch Laboratories AB (publ),4338.0,18,241.0,2014
"ReVision Optics, Inc.",314180.42,89,3530.12,2014
Reckitt Benckiser LLC,36257.6,1373,26.41,2014
Reckitt Benckiser Pharmaceuticals Inc.,516533.56,9118,56.65,2014
"RedMedical, LLC",8343.65,54,154.51,2014
"Regeneron Pharmaceuticals, Inc.",6251078.21,7879,793.38,2014
"Reichert, Inc.",180556.08,51,3540.32,2014
"Reliance Medical Products, Inc.",152.26,5,30.45,2014
"Remel, Inc.",47972.27,36,1332.56,2014
"Renaissance Pharma, Inc.",17782.25,700,25.4,2014
"Renovis Surgical Technologies, Inc.",3303.43,7,471.92,2014
Repro Med Systems Inc,109000.0,2,54500.0,2014
ResMed Corp,99270.78,1564,63.47,2014
"Respicardia, Inc.",200148.98,66,3032.56,2014
"Respiratory Technologies, Inc.",57627.1,2567,22.45,2014
Response Biomedical Corp.,4325.85,1,4325.85,2014
"Retrophin, Inc.",59560.22,187,318.5,2014
Reverse Medical Corporation,19050.0,4,4762.5,2014
Rhodes Pharmaceuticals L.P.,963.51,8,120.44,2014
Richard Wolf Medical Instruments Corp.,101460.49,191,531.21,2014
Richard-Allan Scientific Company,46229.07,28,1651.04,2014
Rinat Neuroscience Corp.,2837.0,2,1418.5,2014
"Roanoke Area Surgical Lasers, LLC",124066.0,12,10338.83,2014
Roche Diagnostics Corporation,1556311.62,8747,177.93,2014
Roche Diagnostics GmbH,69632.0,14,4973.71,2014
Roche Diagnostics International Ltd,139354.45,60,2322.57,2014
"Roche Diagnostics Operations, Inc.",34688.57,38,912.86,2014
Roche Health Solutions Inc.,109200.0,22,4963.64,2014
"Roche Molecular Systems, Inc.",94815.25,64,1481.49,2014
