Physician_Spec,Payment_Sum,Payment_Count,Payment_Mean,Year
Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology,1179679.73,1788,659.78,2014
Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology & Clinical Pathology,3979503.45,8577,463.97,2014
Allopathic & Osteopathic Physicians|Pathology|Blood Banking & Transfusion Medicine,1645145.84,827,1989.29,2014
Allopathic & Osteopathic Physicians|Pathology|Chemical Pathology,25451.36,22,1156.88,2014
Allopathic & Osteopathic Physicians|Pathology|Clinical Pathology,666976.97,718,928.94,2014
Allopathic & Osteopathic Physicians|Pathology|Clinical Pathology/Laboratory Medicine,885522.8,1272,696.17,2014
Allopathic & Osteopathic Physicians|Pathology|Cytopathology,120504.86,497,242.46,2014
Allopathic & Osteopathic Physicians|Pathology|Dermatopathology,34265.61,308,111.25,2014
Allopathic & Osteopathic Physicians|Pathology|Forensic Pathology,5449.64,90,60.55,2014
Allopathic & Osteopathic Physicians|Pathology|Hematology,374122.56,588,636.26,2014
Allopathic & Osteopathic Physicians|Pathology|Immunopathology,231535.24,174,1330.66,2014
Allopathic & Osteopathic Physicians|Pathology|Medical Microbiology,81589.59,140,582.78,2014
Allopathic & Osteopathic Physicians|Pathology|Molecular Genetic Pathology,64614.62,148,436.59,2014
Allopathic & Osteopathic Physicians|Pathology|Neuropathology,47352.5,113,419.05,2014
Allopathic & Osteopathic Physicians|Pathology|Pediatric Pathology,17927.4,66,271.63,2014
Allopathic & Osteopathic Physicians|Pediatrics,11722175.1,163849,71.54,2014
Allopathic & Osteopathic Physicians|Pediatrics|Adolescent Medicine,324615.77,7096,45.75,2014
Allopathic & Osteopathic Physicians|Pediatrics|Child Abuse Pediatrics,1766.56,2,883.28,2014
Allopathic & Osteopathic Physicians|Pediatrics|Clinical & Laboratory Immunology,132697.49,61,2175.37,2014
Allopathic & Osteopathic Physicians|Pediatrics|Developmental  Behavioral Pediatrics,49624.47,905,54.83,2014
Allopathic & Osteopathic Physicians|Pediatrics|Hospice and Palliative Medicine,8714.55,137,63.61,2014
Allopathic & Osteopathic Physicians|Pediatrics|Medical Toxicology,241.0,8,30.12,2014
Allopathic & Osteopathic Physicians|Pediatrics|Neonatal-Perinatal Medicine,718639.55,3272,219.63,2014
Allopathic & Osteopathic Physicians|Pediatrics|Neurodevelopmental Disabilities,1205088.95,1884,639.64,2014
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Allergy/Immunology,1622946.45,3965,409.32,2014
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Cardiology,1982893.67,5791,342.41,2014
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Critical Care Medicine,29366219.31,1258,23343.58,2014
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Emergency Medicine,44414.34,454,97.83,2014
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Endocrinology,2424253.39,15087,160.68,2014
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Gastroenterology,878453.1,4217,208.31,2014
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Hematology-Oncology,3905605.91,7619,512.61,2014
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Infectious Diseases,1993081.82,2897,687.98,2014
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Nephrology,1305470.4,2446,533.72,2014
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Pulmonology,2171509.86,8771,247.58,2014
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Rheumatology,465495.35,1380,337.32,2014
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Transplant Hepatology,10891.39,25,435.66,2014
Allopathic & Osteopathic Physicians|Pediatrics|Sleep Medicine,5406.92,137,39.47,2014
Allopathic & Osteopathic Physicians|Pediatrics|Sports Medicine,18317.84,135,135.69,2014
Allopathic & Osteopathic Physicians|Phlebology,187380.05,280,669.21,2014
Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation,6887575.93,64227,107.24,2014
Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Hospice and Palliative Medicine,18557.8,399,46.51,2014
Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Neuromuscular Medicine,16927.14,313,54.08,2014
Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pain Medicine,2339588.5,20159,116.06,2014
Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pediatric Rehabilitation Medicine,76964.99,421,182.81,2014
Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Spinal Cord Injury Medicine,109997.46,743,148.05,2014
Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Sports Medicine,271018.6,2067,131.12,2014
Allopathic & Osteopathic Physicians|Plastic Surgery,17141232.58,36755,466.36,2014
Allopathic & Osteopathic Physicians|Plastic Surgery|Plastic Surgery Within the Head and Neck,8733406.95,1710,5107.26,2014
Allopathic & Osteopathic Physicians|Plastic Surgery|Surgery of the Hand,547227.09,1762,310.57,2014
Allopathic & Osteopathic Physicians|Preventive Medicine|Aerospace Medicine,22498.01,310,72.57,2014
Allopathic & Osteopathic Physicians|Preventive Medicine|Medical Toxicology,24889.94,23,1082.17,2014
Allopathic & Osteopathic Physicians|Preventive Medicine|Occupational Medicine,345628.35,2018,171.27,2014
Allopathic & Osteopathic Physicians|Preventive Medicine|Preventive Medicine/Occupational Environmental Medicine,262020.44,716,365.95,2014
Allopathic & Osteopathic Physicians|Preventive Medicine|Public Health & General Preventive Medicine,2028083.07,2699,751.42,2014
Allopathic & Osteopathic Physicians|Preventive Medicine|Sports Medicine,11551.64,158,73.11,2014
Allopathic & Osteopathic Physicians|Preventive Medicine|Undersea and Hyperbaric Medicine,209905.86,855,245.5,2014
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Addiction Medicine,950704.29,4516,210.52,2014
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Addiction Psychiatry,563605.82,2985,188.81,2014
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Behavioral Neurology & Neuropsychiatry,67643.49,287,235.69,2014
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Child & Adolescent Psychiatry,1297940.53,24572,52.82,2014
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Clinical Neurophysiology,1126403.54,8199,137.38,2014
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Diagnostic Neuroimaging,6532.94,262,24.93,2014
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Forensic Psychiatry,291650.35,2465,118.32,2014
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Geriatric Psychiatry,355456.54,3778,94.09,2014
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Hospice and Palliative Medicine,572.53,20,28.63,2014
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurocritical Care,15063.39,11,1369.4,2014
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurodevelopmental Disabilities,8623.36,144,59.88,2014
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,76472577.75,445468,171.67,2014
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology with Special Qualifications in Child Neurology,3624755.45,17305,209.46,2014
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neuromuscular Medicine,54481.3,1081,50.4,2014
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Obesity Medicine,37.84,2,18.92,2014
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Pain Medicine,464723.93,2379,195.34,2014
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,47821510.61,384724,124.3,2014
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychosomatic Medicine,136965.72,1400,97.83,2014
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Sleep Medicine,457270.08,2790,163.9,2014
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Sports Medicine,1516.36,59,25.7,2014
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Vascular Neurology,514101.54,3316,155.04,2014
Allopathic & Osteopathic Physicians|Radiology|Body Imaging,432479.02,1140,379.37,2014
Allopathic & Osteopathic Physicians|Radiology|Diagnostic Neuroimaging,29897.86,157,190.43,2014
Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,26016160.64,49913,521.23,2014
Allopathic & Osteopathic Physicians|Radiology|Diagnostic Ultrasound,33456.97,177,189.02,2014
Allopathic & Osteopathic Physicians|Radiology|Neuroradiology,4199347.16,3826,1097.58,2014
Allopathic & Osteopathic Physicians|Radiology|Nuclear Radiology,253536.52,537,472.14,2014
Allopathic & Osteopathic Physicians|Radiology|Pediatric Radiology,66725.51,336,198.59,2014
Allopathic & Osteopathic Physicians|Radiology|Radiation Oncology,4689201.98,18082,259.33,2014
Allopathic & Osteopathic Physicians|Radiology|Radiological Physics,671.09,14,47.94,2014
Allopathic & Osteopathic Physicians|Radiology|Therapeutic Radiology,81129.62,471,172.25,2014
Allopathic & Osteopathic Physicians|Radiology|Vascular & Interventional Radiology,24167555.92,18462,1309.04,2014
Allopathic & Osteopathic Physicians|Surgery,47275229.56,176057,268.52,2014
Allopathic & Osteopathic Physicians|Surgery|Hospice and Palliative Medicine,355.15,11,32.29,2014
Allopathic & Osteopathic Physicians|Surgery|Pediatric Surgery,460059.2,1389,331.22,2014
Allopathic & Osteopathic Physicians|Surgery|Plastic and Reconstructive Surgery,5670444.62,16154,351.02,2014
Allopathic & Osteopathic Physicians|Surgery|Surgery of the Hand,1029371.84,1854,555.22,2014
Allopathic & Osteopathic Physicians|Surgery|Surgical Critical Care,10278605.37,2953,3480.73,2014
Allopathic & Osteopathic Physicians|Surgery|Surgical Oncology,3133082.99,6050,517.86,2014
Allopathic & Osteopathic Physicians|Surgery|Trauma Surgery,764694.95,3183,240.24,2014
Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,14961540.05,63457,235.77,2014
Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),22910169.68,62436,366.94,2014
Allopathic & Osteopathic Physicians|Transplant Surgery,1509543.57,3518,429.09,2014
Allopathic & Osteopathic Physicians|Urology,33494255.44,238685,140.33,2014
Allopathic & Osteopathic Physicians|Urology|Female Pelvic Medicine and Reconstructive Surgery,172455.34,382,451.45,2014
Allopathic & Osteopathic Physicians|Urology|Pediatric Urology,170632.49,1154,147.86,2014
Ambulatory Health Care Facilities|Clinic/Center,6657.59,3,2219.2,2014
Ambulatory Health Care Facilities|Clinic/Center|Adolescent and Children Mental Health,195.22,12,16.27,2014
Ambulatory Health Care Facilities|Clinic/Center|Adult Mental Health,786.65,14,56.19,2014
Ambulatory Health Care Facilities|Clinic/Center|Ambulatory Family Planning Facility,18823.81,377,49.93,2014
Ambulatory Health Care Facilities|Clinic/Center|Ambulatory Surgical,1801.37,75,24.02,2014
Ambulatory Health Care Facilities|Clinic/Center|Community Health,22926.2,133,172.38,2014
Ambulatory Health Care Facilities|Clinic/Center|Dental,751.81,14,53.7,2014
Ambulatory Health Care Facilities|Clinic/Center|Emergency Care,14692.08,17,864.24,2014
"Ambulatory Health Care Facilities|Clinic/Center|Family Planning, Non-Surgical",531.5,22,24.16,2014
Ambulatory Health Care Facilities|Clinic/Center|Genetics,123.66,8,15.46,2014
Ambulatory Health Care Facilities|Clinic/Center|Health Service,740.33,21,35.25,2014
Ambulatory Health Care Facilities|Clinic/Center|Infusion Therapy,7470.43,117,63.85,2014
Ambulatory Health Care Facilities|Clinic/Center|Magnetic Resonance Imaging (MRI),1240.85,16,77.55,2014
Ambulatory Health Care Facilities|Clinic/Center|Medical Specialty,606.08,29,20.9,2014
Ambulatory Health Care Facilities|Clinic/Center|Mental Health (Including Community Mental Health Center),57.04,3,19.01,2014
Ambulatory Health Care Facilities|Clinic/Center|Multi-Specialty,829.57,63,13.17,2014
Ambulatory Health Care Facilities|Clinic/Center|Occupational Medicine,16.49,1,16.49,2014
Ambulatory Health Care Facilities|Clinic/Center|Oncology,1246.25,57,21.86,2014
"Ambulatory Health Care Facilities|Clinic/Center|Oncology, Radiation",1774.42,62,28.62,2014
Ambulatory Health Care Facilities|Clinic/Center|Ophthalmologic Surgery,1295.14,31,41.78,2014
Ambulatory Health Care Facilities|Clinic/Center|Oral and Maxillofacial Surgery,1336.47,80,16.71,2014
Ambulatory Health Care Facilities|Clinic/Center|Pain,52.49,4,13.12,2014
Ambulatory Health Care Facilities|Clinic/Center|Physical Therapy,228.92,1,228.92,2014
Ambulatory Health Care Facilities|Clinic/Center|Podiatric,158.04,4,39.51,2014
Ambulatory Health Care Facilities|Clinic/Center|Prison Health,18500.62,950,19.47,2014
"Ambulatory Health Care Facilities|Clinic/Center|Public Health, State or Local",5503.59,131,42.01,2014
Ambulatory Health Care Facilities|Clinic/Center|Radiology,577.64,13,44.43,2014
"Ambulatory Health Care Facilities|Clinic/Center|Radiology, Mammography",87546.44,49,1786.66,2014
"Ambulatory Health Care Facilities|Clinic/Center|Radiology, Mobile Mammography",729.49,5,145.9,2014
Ambulatory Health Care Facilities|Clinic/Center|Sleep Disorder Diagnostic,24485.04,31,789.84,2014
Ambulatory Health Care Facilities|Clinic/Center|Student Health,1087.96,31,35.1,2014
Ambulatory Health Care Facilities|Clinic/Center|Urgent Care,100.46,5,20.09,2014
Ambulatory Health Care Facilities|Clinic/Center|VA,1238.45,46,26.92,2014
Behavioral Health & Social Service Providers|Behavioral Analyst,1441.96,50,28.84,2014
Behavioral Health & Social Service Providers|Clinical Neuropsychologist,9965.7,286,34.85,2014
Behavioral Health & Social Service Providers|Counselor,3932.81,50,78.66,2014
Behavioral Health & Social Service Providers|Counselor|Addiction (Substance Use Disorder),93438.3,297,314.61,2014
Behavioral Health & Social Service Providers|Counselor|Mental Health,70406.55,1004,70.13,2014
Behavioral Health & Social Service Providers|Counselor|Pastoral,97.24,7,13.89,2014
Behavioral Health & Social Service Providers|Counselor|Professional,8764.83,269,32.58,2014
Behavioral Health & Social Service Providers|Counselor|School,13.3,1,13.3,2014
Behavioral Health & Social Service Providers|Marriage & Family Therapist,262.3,9,29.14,2014
Behavioral Health & Social Service Providers|Psychoanalyst,7651.82,100,76.52,2014
Behavioral Health & Social Service Providers|Psychologist,115445.91,1167,98.93,2014
Behavioral Health & Social Service Providers|Psychologist|Addiction (Substance Use Disorder),6663.5,27,246.8,2014
Behavioral Health & Social Service Providers|Psychologist|Adult Development & Aging,8321.24,139,59.87,2014
Behavioral Health & Social Service Providers|Psychologist|Clinical,5415.1,151,35.86,2014
Behavioral Health & Social Service Providers|Psychologist|Clinical Child & Adolescent,783.61,30,26.12,2014
Behavioral Health & Social Service Providers|Psychologist|Cognitive & Behavioral,24252.77,322,75.32,2014
Behavioral Health & Social Service Providers|Psychologist|Counseling,40.59,2,20.3,2014
Behavioral Health & Social Service Providers|Psychologist|Family,692.99,25,27.72,2014
Behavioral Health & Social Service Providers|Psychologist|Prescribing (Medical),11327.16,340,33.32,2014
Behavioral Health & Social Service Providers|Psychologist|Psychoanalysis,286.07,5,57.21,2014
Behavioral Health & Social Service Providers|Social Worker,251.7,7,35.96,2014
Behavioral Health & Social Service Providers|Social Worker|Clinical,2540.42,26,97.71,2014
Chiropractic Providers|Chiropractor,186632.6,3047,61.25,2014
Chiropractic Providers|Chiropractor|Independent Medical Examiner,518.9,11,47.17,2014
Chiropractic Providers|Chiropractor|Internist,2986.61,68,43.92,2014
Chiropractic Providers|Chiropractor|Neurology,259873.69,490,530.35,2014
Chiropractic Providers|Chiropractor|Nutrition,901.79,30,30.06,2014
Chiropractic Providers|Chiropractor|Occupational Health,1125.74,31,36.31,2014
Chiropractic Providers|Chiropractor|Orthopedic,7343.03,94,78.12,2014
Chiropractic Providers|Chiropractor|Pediatric Chiropractor,83.91,2,41.96,2014
Chiropractic Providers|Chiropractor|Radiology,106441.03,174,611.73,2014
Chiropractic Providers|Chiropractor|Rehabilitation,4366.14,153,28.54,2014
Chiropractic Providers|Chiropractor|Sports Physician,4273.04,130,32.87,2014
Chiropractic Providers|Chiropractor|Thermography,92.68,6,15.45,2014
Dental Providers|Dental Assistant,329.2,4,82.3,2014
Dental Providers|Dental Hygienist,5019.93,16,313.75,2014
Dental Providers|Dental Laboratory Technician,440.0,9,48.89,2014
Dental Providers|Dentist,16561952.44,65615,252.41,2014
Dental Providers|Dentist|Dental Public Health,61482.85,375,163.95,2014
Dental Providers|Dentist|Dentist Anesthesiologist,25728.29,27,952.9,2014
Dental Providers|Dentist|Endodontics,14922136.7,7689,1940.71,2014
Dental Providers|Dentist|General Practice,20917574.42,119467,175.09,2014
Dental Providers|Dentist|Oral and Maxillofacial Pathology,425866.59,1294,329.11,2014
Dental Providers|Dentist|Oral and Maxillofacial Radiology,143439.98,143,1003.08,2014
Dental Providers|Dentist|Oral and Maxillofacial Surgery,8399209.02,27112,309.8,2014
Dental Providers|Dentist|Orthodontics and Dentofacial Orthopedics,7487272.0,24282,308.35,2014
Dental Providers|Dentist|Pediatric Dentistry,498145.22,3427,145.36,2014
Dental Providers|Dentist|Periodontics,5830237.57,21476,271.48,2014
Dental Providers|Dentist|Prosthodontics,6523674.87,9372,696.08,2014
Dental Providers|Denturist,1377.54,20,68.88,2014
Dietary & Nutritional Service Providers|Dietary Manager,253.3,12,21.11,2014
"Dietary & Nutritional Service Providers|Dietitian, Registered",326.04,16,20.38,2014
"Dietary & Nutritional Service Providers|Dietitian, Registered|Nutrition, Metabolic",373.29,13,28.71,2014
"Dietary & Nutritional Service Providers|Dietitian, Registered|Nutrition, Pediatric",5079.17,10,507.92,2014
Dietary & Nutritional Service Providers|Nutritionist,2986.79,35,85.34,2014
"Dietary & Nutritional Service Providers|Nutritionist|Nutrition, Education",11260.69,14,804.34,2014
"Emergency Medical Service Providers|Emergency Medical Technician, Basic",1618.92,42,38.55,2014
"Emergency Medical Service Providers|Emergency Medical Technician, Intermediate",798.96,30,26.63,2014
"Emergency Medical Service Providers|Emergency Medical Technician, Paramedic",136.56,1,136.56,2014
Emergency Medical Service Providers|Personal Emergency Response Attendant,39201.99,410,95.61,2014
Eye and Vision Services Providers|Optometrist,17608827.83,177721,99.08,2014
Eye and Vision Services Providers|Optometrist|Corneal and Contact Management,1221461.38,8158,149.73,2014
Eye and Vision Services Providers|Optometrist|Low Vision Rehabilitation,47812.96,613,78.0,2014
Eye and Vision Services Providers|Optometrist|Occupational Vision,7160.42,166,43.14,2014
Eye and Vision Services Providers|Optometrist|Pediatrics,42221.37,644,65.56,2014
Eye and Vision Services Providers|Optometrist|Sports Vision,5962.69,85,70.15,2014
Eye and Vision Services Providers|Optometrist|Vision Therapy,47635.49,781,60.99,2014
Eye and Vision Services Providers|Technician/Technologist,1036.54,3,345.51,2014
Eye and Vision Services Providers|Technician/Technologist|Contact Lens,16.16,1,16.16,2014
Eye and Vision Services Providers|Technician/Technologist|Contact Lens Fitter,43.56,2,21.78,2014
Eye and Vision Services Providers|Technician/Technologist|Ophthalmic,9843.29,255,38.6,2014
Eye and Vision Services Providers|Technician/Technologist|Optician,2687.11,55,48.86,2014
Eye and Vision Services Providers|Technician/Technologist|Optometric Assistant,112.09,15,7.47,2014
Group|Multi-Specialty,2226.68,15,148.45,2014
Group|Single Specialty,13821.99,429,32.22,2014
Hospital Units|Epilepsy Unit,158.23,1,158.23,2014
Hospital Units|Medicare Defined Swing Bed Unit,679.07,3,226.36,2014
Hospital Units|Psychiatric Unit,2841.95,44,64.59,2014
Hospital Units|Rehabilitation Unit,791.69,24,32.99,2014
Hospitals|Chronic Disease Hospital,103.46,3,34.49,2014
Hospitals|Chronic Disease Hospital|Children,24929.77,58,429.82,2014
Hospitals|General Acute Care Hospital,1253.28,44,28.48,2014
Hospitals|General Acute Care Hospital|Children,8399.35,143,58.74,2014
Hospitals|General Acute Care Hospital|Critical Access,459017.54,2199,208.74,2014
Hospitals|General Acute Care Hospital|Rural,1414.57,32,44.21,2014
Hospitals|General Acute Care Hospital|Women,688.22,24,28.68,2014
Hospitals|Long Term Care Hospital,5147.81,10,514.78,2014
Hospitals|Military Hospital,164.6,15,10.97,2014
Hospitals|Military Hospital|Military General Acute Care Hospital,27139.35,59,459.99,2014
Hospitals|Psychiatric Hospital,6186.35,236,26.21,2014
Hospitals|Rehabilitation Hospital,101.08,2,50.54,2014
Hospitals|Special Hospital,27808.22,68,408.94,2014
Laboratories|Clinical Medical Laboratory,17355.7,69,251.53,2014
Laboratories|Physiological Laboratory,415.0,4,103.75,2014
Managed Care Organizations|Exclusive Provider Organization,1532.66,68,22.54,2014
Managed Care Organizations|Health Maintenance Organization,55114.7,163,338.13,2014
Managed Care Organizations|Point of Service,1540.67,94,16.39,2014
Managed Care Organizations|Preferred Provider Organization,9804.98,245,40.02,2014
Nursing & Custodial Care Facilities|Custodial Care Facility,339.63,15,22.64,2014
Nursing & Custodial Care Facilities|Nursing Facility/Intermediate Care Facility,1946.8,35,55.62,2014
Nursing & Custodial Care Facilities|Skilled Nursing Facility,314.81,9,34.98,2014
Nursing Service Providers|Licensed Practical Nurse,3294.14,7,470.59,2014
Nursing Service Providers|Licensed Vocational Nurse,329.95,11,30.0,2014
Nursing Service Providers|Registered Nurse,9026.16,78,115.72,2014
Nursing Service Providers|Registered Nurse|Ambulatory Care,247.61,5,49.52,2014
Nursing Service Providers|Registered Nurse|Community Health,14.68,1,14.68,2014
Nursing Service Providers|Registered Nurse|Critical Care Medicine,365.98,5,73.2,2014
Nursing Service Providers|Registered Nurse|Diabetes Educator,43031.68,175,245.9,2014
Nursing Service Providers|Registered Nurse|Gastroenterology,52133.81,162,321.81,2014
Nursing Service Providers|Registered Nurse|General Practice,911.97,47,19.4,2014
Nursing Service Providers|Registered Nurse|Hospice,183.76,2,91.88,2014
Nursing Service Providers|Registered Nurse|Lactation Consultant,18.39,1,18.39,2014
Nursing Service Providers|Registered Nurse|Nephrology,5999.4,51,117.64,2014
Nursing Service Providers|Registered Nurse|Neuroscience,113.31,13,8.72,2014
Nursing Service Providers|Registered Nurse|Occupational Health,56.07,2,28.04,2014
Nursing Service Providers|Registered Nurse|Oncology,8584.32,20,429.22,2014
Nursing Service Providers|Registered Nurse|Ophthalmic,204006.67,132,1545.51,2014
Nursing Service Providers|Registered Nurse|Orthopedic,12701.42,113,112.4,2014
Nursing Service Providers|Registered Nurse|Pain Management,3739.44,151,24.76,2014
Nursing Service Providers|Registered Nurse|Pediatrics,63.42,5,12.68,2014
Nursing Service Providers|Registered Nurse|Plastic Surgery,3535.15,31,114.04,2014
Nursing Service Providers|Registered Nurse|Psych/Mental Health,743.93,13,57.23,2014
Nursing Service Providers|Registered Nurse|Registered Nurse First Assistant,25.0,1,25.0,2014
Nursing Service Providers|Registered Nurse|Rehabilitation,3641.13,158,23.05,2014
Nursing Service Providers|Registered Nurse|Reproductive Endocrinology/Infertility,35103.75,70,501.48,2014
Nursing Service Providers|Registered Nurse|Urology,123075.89,2591,47.5,2014
Nursing Service Providers|Registered Nurse|Wound Care,108.46,1,108.46,2014
Nursing Service Related Providers|Doula,20.1,1,20.1,2014
Nursing Service Related Providers|Nurse's Aide,162.72,1,162.72,2014
Nursing Service Related Providers|Nursing Home Administrator,642.51,42,15.3,2014
Other Service Providers|Acupuncturist,3879.13,129,30.07,2014
Other Service Providers|Case Manager/Care Coordinator,613.4,12,51.12,2014
Other Service Providers|Community Health Worker,3251.29,130,25.01,2014
Other Service Providers|Contractor,223365.04,151,1479.24,2014
Other Service Providers|Driver,58.42,4,14.6,2014
Other Service Providers|Health Educator,200.73,8,25.09,2014
Other Service Providers|Homeopath,257.63,10,25.76,2014
Other Service Providers|Legal Medicine,756883.02,10762,70.33,2014
Other Service Providers|Meals,200.69,2,100.34,2014
"Other Service Providers|Medical Genetics, Ph.D. Medical Genetics",116587.45,971,120.07,2014
Other Service Providers|Midwife,42.88,3,14.29,2014
Other Service Providers|Military Health Care Provider,262331.29,649,404.21,2014
Other Service Providers|Naturopath,4688.47,42,111.63,2014
"Other Service Providers|Sleep Specialist, PhD",411087.11,2037,201.81,2014
Other Service Providers|Specialist,69440588.49,306223,226.76,2014
Other Service Providers|Specialist|Graphics Designer,32.22,3,10.74,2014
Other Service Providers|Specialist|Research Study,395137.22,339,1165.6,2014
Pharmacy Service Providers|Pharmacist,12240.82,122,100.33,2014
Pharmacy Service Providers|Pharmacist|Geriatric,11.07,1,11.07,2014
Pharmacy Service Providers|Pharmacist|Oncology,16110.87,721,22.35,2014
Pharmacy Service Providers|Pharmacist|Pharmacist Clinician (PhC)/ Clinical Pharmacy Specialist,86.3,2,43.15,2014
Pharmacy Service Providers|Pharmacist|Pharmacotherapy,339.73,25,13.59,2014
Pharmacy Service Providers|Pharmacist|Psychiatric,113.53,7,16.22,2014
Pharmacy Service Providers|Pharmacy Technician,13.0,1,13.0,2014
Physician Assistants & Advanced Practice Nursing Providers|Advanced Practice Midwife,291.53,8,36.44,2014
Physician Assistants & Advanced Practice Nursing Providers|Anesthesiologist Assistant,124.92,1,124.92,2014
Physician Assistants & Advanced Practice Nursing Providers|Clinical Nurse Specialist,3221.47,18,178.97,2014
Physician Assistants & Advanced Practice Nursing Providers|Clinical Nurse Specialist|Critical Care Medicine,15.42,1,15.42,2014
Physician Assistants & Advanced Practice Nursing Providers|Clinical Nurse Specialist|Family Health,17040.76,129,132.1,2014
Physician Assistants & Advanced Practice Nursing Providers|Clinical Nurse Specialist|Medical-Surgical,149.35,10,14.93,2014
Physician Assistants & Advanced Practice Nursing Providers|Clinical Nurse Specialist|Psych/Mental Health,203720.27,8023,25.39,2014
Physician Assistants & Advanced Practice Nursing Providers|Clinical Nurse Specialist|Women's Health,194.6,2,97.3,2014
"Physician Assistants & Advanced Practice Nursing Providers|Nurse Anesthetist, Certified Registered",2107.24,36,58.53,2014
Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner,35317.26,715,49.39,2014
Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner|Acute Care,9719.06,189,51.42,2014
Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner|Adult Health,7709.1,163,47.3,2014
Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner|Critical Care Medicine,3765.5,74,50.89,2014
Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner|Family,2.92,1,2.92,2014
Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner|Gerontology,7763.47,260,29.86,2014
Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner|Neonatal,15.22,1,15.22,2014
Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner|Obstetrics & Gynecology,1434.87,19,75.52,2014
"Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner|Pediatrics, Critical Care",5501.67,69,79.73,2014
Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner|Primary Care,3860.42,58,66.56,2014
Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner|Psych/Mental Health,1052.17,7,150.31,2014
Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner|Women's Health,2061.01,92,22.4,2014
Physician Assistants & Advanced Practice Nursing Providers|Physician Assistant,12202.67,61,200.04,2014
Physician Assistants & Advanced Practice Nursing Providers|Physician Assistant|Medical,27433.63,299,91.75,2014
Physician Assistants & Advanced Practice Nursing Providers|Physician Assistant|Surgical Technologist,15501.07,227,68.29,2014
"Podiatric Medicine & Surgery Service Providers|Assistant, Podiatric",768.23,10,76.82,2014
Podiatric Medicine & Surgery Service Providers|Podiatrist,7424510.86,52954,140.21,2014
Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,9112288.86,52744,172.76,2014
